source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
3209: Vodafone Germany; ;8075: Microsoft;1;0.151;664;Microsoft;12.0;('FR', 356.5);('FR', 1);[4890]
3209: Vodafone Germany;(8893: Artfiles New Media);8075: Microsoft;1;0.151;664;Microsoft;7.0;('DE', 18.5);('DE', 1);[391118]
3209: Vodafone Germany;(60294: Deutsche Glasfaser GmbH);8075: Microsoft;1;0.151;664;Microsoft;6.0;('DE', 22.5);('DE', 1);[527680]
3209: Vodafone Germany;(1273: Vodafone Global Network), (1299: Telia Carrier);14061: DigitalOcean;0;59.609;562;DigitalOcean;11.99;('DE', 39.509),('NL', 54.584),('GB', 64.44);('NL', 177),('DE', 87),('GB', 71);[4361, 4384, 4385, 4387, 4388, 4401, 4416, 4483, 4484, 4485, 4506, 4507, 4517, 4519, 4520, 4521, 4522, 4531, 4532, 4536, 4539, 4553, 4560, 4567, 4570, 4571, 4585, 4591, 4617, 4629, 4700, 4705, 4706, 4716, 4732, 4744, 4753, 4761, 43465, 43475, 43477, 43478, 43497, 55545, 55546, 55550, 55551, 55552, 55556, 55557, 55558, 55569, 55601, 55603, 55605, 55608, 55620, 55627, 55628, 55644, 55646, 55649, 55651, 55672, 55675, 55676, 55682, 55712, 55715, 55720, 55736, 55740, 55741, 88643, 88646, 88647, 88658, 88662, 88663, 88680, 88681, 88708, 88716, 88722, 88725, 88726, 88727, 88730, 88733, 88746, 88748, 88749, 88755, 88757, 88779, 88780, 88791, 88792, 88816, 88817, 88818, 152343, 152346, 152348, 152350, 152351, 152369, 152373, 152374, 152413, 152414, 152422, 152423, 152432, 152434, 152435, 152455, 152461, 152464, 152482, 152483, 152485, 152487, 152493, 152497, 152499, 152521, 152522, 152524, 152525, 152527, 152529, 152531, 152534, 152550, 152556, 214213, 214215, 214216, 214221, 214224, 214226, 214228, 214244, 214261, 214398, 214401, 214403, 214405, 214407, 214424, 214427, 214429, 214430, 214431, 214433, 214434, 214441, 214455, 214461, 214463, 214464, 214474, 214499, 214503, 214529, 214533, 214534, 214539, 214544, 214547, 214549, 214557, 214558, 214563, 214564, 214566, 214568, 214570, 214571, 214578, 278497, 278514, 278516, 278519, 278520, 278521, 278541, 278542, 278544, 278554, 278652, 278662, 278664, 278677, 278699, 278702, 278703, 278705, 278721, 278722, 278749, 278750, 278758, 278764, 278765, 278766, 343853, 343873, 343875, 343877, 343880, 343883, 343909, 343956, 343957, 343958, 343959, 343962, 343989, 343992, 343995, 344057, 344060, 344068, 344069, 344071, 344072, 344073, 344074, 344075, 344085, 344092, 344093, 344094, 344101, 344131, 344132, 344136, 344137, 344138, 344139, 344140, 344141, 344143, 344146, 344149, 344150, 344153, 344178, 390484, 390504, 390506, 390507, 390512, 390514, 390517, 390538, 390539, 390541, 390543, 390568, 390571, 390581, 390582, 390583, 390613, 390616, 390617, 390671, 390672, 390675, 390676, 390677, 390697, 390702, 390743, 390747, 390753, 390759, 390777, 390778, 390779, 390780, 458563, 458570, 458571, 458585, 458588, 458600, 458601, 458602, 458633, 458650, 458653, 458657, 458660, 458663, 458685, 458728, 458729, 458730, 458733, 458734, 458737, 458738, 458740, 458742, 458764, 458768, 458772, 458773, 527144, 527147, 527148, 527149, 527150, 527171, 527173, 527225, 527298, 527299, 527300, 527303, 527305, 527309, 527328, 527330, 527341, 527379, 527380, 527381, 527411, 527412, 527423]
3209: Vodafone Germany;(1273: Vodafone Global Network), (2914: NTT Global IP Network);14061: DigitalOcean;0;13.879;562;DigitalOcean;12.15;('NL', 58.646),('DE', 75.058),('GB', 94.568);('NL', 33),('DE', 26),('GB', 19);[4572, 4599, 4627, 55553, 55597, 55626, 55653, 88703, 88758, 88778, 88794, 88820, 152371, 152378, 152409, 152500, 152532, 152552, 214239, 214242, 214260, 214425, 214493, 214506, 214545, 214548, 214580, 278517, 278518, 278552, 278558, 278559, 278660, 278697, 278751, 343868, 343872, 343874, 343908, 343910, 343961, 343967, 344091, 344154, 344179, 344181, 344182, 390501, 390508, 390511, 390516, 390540, 390615, 390620, 390660, 390698, 390749, 390757, 390782, 458550, 458568, 458573, 458639, 458655, 458736, 479930, 527142, 527143, 527145, 527208, 527229, 527294, 527308, 527326, 527329, 527383, 527408, 527410]
3209: Vodafone Germany;(3356: Level 3 AS 3356);14061: DigitalOcean;0;12.456;562;DigitalOcean;9.89;('DE', 42.667),('NL', 47.12),('GB', 50.587);('GB', 25),('NL', 25),('DE', 20);[4590, 55539, 55542, 55565, 214465, 214508, 343998, 390575, 390604, 458565, 527204, 527230, 632493, 632497, 632501, 632503, 632509, 632513, 632515, 632516, 632535, 632536, 632538, 632543, 632544, 632571, 632574, 632575, 632578, 632581, 632583, 632584, 632587, 632588, 632593, 632609, 632610, 632655, 632657, 632660, 632661, 632663, 632664, 632667, 632669, 632670, 632692, 632693, 632696, 632698, 632699, 632706, 632708, 632710, 632711, 632712, 632836, 632839, 632848, 632849, 632850, 632866, 632872, 632878, 632882, 632884, 632894, 632895, 634014, 634469]
3209: Vodafone Germany;(1273: Vodafone Global Network), (6453: Tata Communications);14061: DigitalOcean;0;4.982;562;DigitalOcean;10.89;('NL', 46.409),('DE', 49.118);('DE', 17),('NL', 11);[343857, 343861, 343864, 343904, 344065, 344144, 344148, 390503, 390505, 390510, 390534, 390535, 390667, 390679, 390681, 390682, 390762, 390776, 458610, 458640, 458643, 458646, 458647, 458648, 458664, 479863, 479875, 479968]
3209: Vodafone Germany;(3320: Deutsche Telekom), (6453: Tata Communications);14061: DigitalOcean;0;1.423;562;DigitalOcean;9.12;('DE', 31.0),('GB', 39.5),('NL', 45.167);('DE', 4),('NL', 3),('GB', 1);[152338, 278551, 278694, 632686, 632694, 632826, 632841, 653309]
3209: Vodafone Germany;(3320: Deutsche Telekom), (1299: Telia Carrier);14061: DigitalOcean;0;0.89;562;DigitalOcean;8.8;('DE', 34.833),('GB', 196.25);('DE', 3),('GB', 2);[4421, 343893, 527195, 632537, 632709]
3209: Vodafone Germany;(9009: M247), (174: Cogent Communications, Inc.), (1299: Telia Carrier);14061: DigitalOcean;0;0.712;562;DigitalOcean;13.75;('DE', 87.0),('GB', 89.5),('NL', 92.5);('NL', 2),('DE', 1),('GB', 1);[307189, 307224, 307257, 307311]
