source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
5416: Batelco;(8529: Omantel), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;9.691;1713;Oracle;8.2;('SA', 96.963);('SA', 166);[142187, 142191, 142201, 142202, 142203, 142204, 142206, 142213, 142214, 142219, 142222, 142226, 142230, 142232, 142233, 142235, 142236, 142241, 142245, 142246, 142249, 142250, 142251, 142257, 142260, 203861, 203862, 203864, 203869, 203870, 203873, 203875, 203877, 203885, 203886, 203895, 203896, 203897, 203898, 203900, 203903, 203908, 203916, 267788, 267789, 267795, 267796, 267797, 267798, 267799, 267800, 267801, 267803, 267804, 267810, 267814, 267815, 267817, 267831, 267833, 267835, 267836, 267841, 267843, 267846, 267847, 330832, 330834, 330836, 330840, 330844, 330845, 330846, 330848, 330851, 330852, 330854, 330855, 330856, 330859, 330860, 330862, 330863, 330877, 330878, 330880, 330882, 330883, 330885, 330886, 330890, 330901, 330903, 379052, 379055, 379058, 379059, 379061, 379062, 379065, 379066, 379073, 379076, 379077, 379078, 379081, 379083, 379085, 379086, 379094, 379096, 379097, 379098, 379099, 379101, 379104, 447727, 447728, 447729, 447730, 447731, 447732, 447733, 447742, 447743, 447745, 447751, 447753, 447764, 447766, 447769, 447773, 447776, 447779, 447783, 447786, 447788, 447793, 447795, 447797, 447799, 516531, 516533, 516538, 516539, 516540, 516543, 516549, 516551, 516555, 516564, 516568, 516569, 516570, 516571, 516575, 516582, 516587, 516590, 516591, 516592, 516596, 516597, 585294, 606668, 606671]
5416: Batelco;(8966: Emirates Telecommunications Corporation (Etisalat)), (9498: Bharti Airtel);31898: Oracle Cloud Infrastructure;0;6.305;1713;Oracle;8.49;('IN', 162.161);('IN', 108);[330714, 330727, 330731, 330736, 330741, 330749, 330752, 330755, 330760, 330771, 330772, 330773, 330778, 330780, 330781, 330785, 330905, 330911, 330913, 330929, 330930, 330932, 330950, 330958, 330967, 330971, 330974, 330977, 330982, 378887, 378888, 378889, 378894, 378897, 378908, 378919, 378920, 378921, 378923, 378935, 378940, 378944, 378949, 378951, 378986, 378992, 378993, 378998, 379001, 379008, 379009, 379016, 379026, 379028, 447475, 447483, 447484, 447495, 447498, 447499, 447503, 447516, 447522, 447529, 447531, 516319, 516331, 516336, 516339, 516344, 516349, 516351, 516354, 516359, 516360, 516367, 516373, 516374, 516377, 516379, 516384, 516385, 516393, 516394, 516399, 516403, 516405, 516410, 516418, 516426, 516431, 516432, 516435, 516443, 516444, 516445, 516447, 606650, 606655, 619493, 619501, 619502, 619515, 673338, 673339, 673345, 673347, 673386]
5416: Batelco;(6453: Tata Communications), (9498: Bharti Airtel);31898: Oracle Cloud Infrastructure;0;5.896;1713;Oracle;10.19;('IN', 216.969);('IN', 101);[141833, 141849, 141852, 141854, 141873, 141876, 141879, 141893, 141898, 141998, 142014, 142015, 142016, 142026, 142037, 142041, 142047, 142052, 142056, 142057, 142063, 142069, 203715, 203730, 203733, 203734, 203752, 203762, 267482, 267493, 267494, 267502, 267508, 267510, 267517, 267518, 267520, 267522, 267527, 267533, 267546, 267636, 267650, 267659, 267669, 267670, 267672, 267690, 330706, 330709, 330710, 330711, 330721, 330725, 330726, 330732, 330733, 330734, 330735, 330745, 330746, 330747, 330759, 330764, 330777, 330782, 330783, 330909, 330912, 330939, 330943, 330946, 330953, 330954, 330962, 330970, 330973, 330986, 378974, 378976, 378977, 378978, 378983, 378984, 378985, 378991, 378996, 379000, 379004, 379012, 379014, 379018, 379022, 379030, 673337, 673341, 673343, 673348, 673349, 673376, 673387]
5416: Batelco;(174: Cogent Communications, Inc.), (9498: Bharti Airtel);31898: Oracle Cloud Infrastructure;0;4.67;1713;Oracle;9.76;('IN', 246.628);('IN', 80);[141831, 141832, 141835, 141838, 141839, 141842, 141845, 141847, 141850, 141885, 141886, 141889, 141890, 141899, 141902, 141903, 141995, 141999, 142023, 142029, 142031, 142039, 142044, 142045, 142046, 142048, 142062, 142065, 142067, 203703, 203704, 203705, 203708, 203710, 203742, 203745, 203746, 203751, 203757, 203764, 203804, 203805, 203810, 203811, 203813, 203815, 203817, 203826, 203829, 203833, 203834, 203835, 203836, 203841, 203843, 203854, 203856, 267479, 267481, 267486, 267491, 267499, 267501, 267505, 267514, 267524, 267526, 267530, 267536, 267538, 267541, 267542, 267544, 267634, 267646, 267655, 267657, 267660, 267663, 267675]
5416: Batelco;(8966: Emirates Telecommunications Corporation (Etisalat));31898: Oracle Cloud Infrastructure;0;4.437;1713;Oracle;7.74;('IN', 167.34);('IN', 76);[330707, 330715, 330722, 330750, 330751, 330757, 330758, 330784, 330789, 330918, 330941, 330949, 330951, 330957, 330961, 330966, 330968, 330979, 330980, 330983, 330985, 378907, 378918, 378934, 378946, 378948, 378956, 378960, 378970, 378981, 379007, 379015, 379017, 447470, 447479, 447481, 447491, 447502, 447510, 447515, 447524, 447526, 447527, 516316, 516318, 516321, 516328, 516329, 516330, 516338, 516350, 516355, 516356, 516358, 516362, 516370, 516371, 516372, 516408, 516411, 516419, 516430, 516433, 516440, 516446, 585280, 585284, 606649, 606659, 619490, 619504, 619505, 619506, 673373, 673374, 673384]
5416: Batelco;(174: Cogent Communications, Inc.);31898: Oracle Cloud Infrastructure;0;4.203;1713;Oracle;9.19;('IN', 224.779);('IN', 72);[141836, 141840, 141843, 141848, 141855, 141872, 141877, 141884, 141887, 141897, 141900, 141901, 141994, 141997, 142002, 142003, 142006, 142007, 142008, 142009, 142010, 142011, 142012, 142013, 142020, 142022, 142042, 142043, 142054, 142061, 142068, 203701, 203702, 203714, 203716, 203723, 203724, 203731, 203735, 203736, 203743, 203749, 203754, 203759, 203760, 203763, 203796, 203803, 203822, 203859, 203860, 267484, 267500, 267507, 267515, 267529, 267534, 267635, 267639, 267643, 267652, 267656, 267658, 267666, 267668, 267673, 267676, 267684, 267692, 267696, 267698, 267704]
5416: Batelco;(8781: Ooredoo Qatar formerly Qatar Telecom), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;2.802;1713;Oracle;6.96;('SA', 92.287);('SA', 48);[447734, 447735, 447736, 447737, 447739, 447740, 447749, 447758, 447761, 447762, 447765, 447768, 447774, 447780, 447781, 447785, 447791, 447800, 516532, 516541, 516542, 516546, 516547, 516550, 516552, 516558, 516560, 516561, 516565, 516566, 516567, 516572, 516574, 516576, 516578, 516580, 516581, 516583, 516585, 516593, 516595, 516601, 516602, 516604, 585296, 619463, 619466, 619471]
5416: Batelco;(6453: Tata Communications), (9318: SK Broadband);31898: Oracle Cloud Infrastructure;0;1.051;1713;Oracle;12.67;('KR', 371.706);('KR', 18);[204013, 267744, 267746, 267748, 267751, 331162, 331167, 331172, 379178, 379180, 379187, 447694, 447697, 447698, 447705, 447707, 619522, 619523]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW)), (2914: NTT Global IP Network);31898: Oracle Cloud Infrastructure;0;0.934;1713;Oracle;9.69;('JP', 278.548);('JP', 16);[203789, 203790, 203945, 267582, 267587, 267601, 267710, 267717, 378861, 378874, 379214, 379225, 379239, 447409, 447465, 447565]
5416: Batelco;(31452: ZAIN Bahrain), (35819: Etihad Etisalat Company (Mobily));31898: Oracle Cloud Infrastructure;0;0.467;1713;Oracle;8.12;('SA', 84.375);('SA', 8);[203912, 330872, 379067, 379088, 447784, 447789, 447798, 516603]
